cohort,total_patients,measurement,driver,total_driver_events,covariate,est,se,pval,correlation_ATRX,correlation_POT1,correlation_TERT,total_ATRX,total_POT1,total_TERT,total_cooccurrence_ATRX,total_cooccurrence_POT1,total_cooccurrence_TERT,frac_cooccurrence_ATRX,frac_cooccurrence_POT1,frac_cooccurrence_TERT,colors,main_driver,min_p
Gastroesophageal,211,teal_final_ratio,SRC,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0111923688690394,0.0245843954409686,0.649406490691127,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.22976702743928e-13
Gastroesophageal,211,teal_final_ratio,MLH1,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.0221664073723158,0.0488344272811791,0.650378912921366,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,5.54148154946707e-12
Gastroesophageal,211,purity_svTMB,MSH2,6,+ as.factor(biopsy) + purity + purity_ploidy,0.0116331750613522,0.025730138199675,0.65166345259633,0.22,-0.03,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,2.48161858765253e-09
Gastroesophageal,211,teal_final_ratio,C21orf91,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.0122948810669901,0.0274841870000364,0.655103789903784,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,0.000493858282342912
Gastroesophageal,211,purity_svTMB,FANCA,5,+ as.factor(biopsy) + purity + purity_ploidy,0.0120229579147727,0.0269969962555327,0.656545510918615,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,2.43848300428313e-29
Gastroesophageal,211,teal_final_ratio,ARHGAP35,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.018366118066068,0.041385944594144,0.657676682177647,-0.04,0.18,,11,5,0,0,1,0,0,0.2,,Non-Signficant,MUTATION,5.84207516709206e-22
Gastroesophageal,211,purity_svTMB,PREX2,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0220901265949512,0.050262388605047,0.660769562114474,-0.02,0.63,,11,5,0,0,2,0,0,0.4,,Non-Signficant,AMPLIFICATION,1.16665884821636e-05
Gastroesophageal,211,purity_svTMB,RAC1,2,+ as.factor(biopsy) + purity + purity_ploidy,0.012704849906201,0.0289077611397764,0.660769562114474,-0.02,0.63,,11,5,0,0,2,0,0,0.4,,Non-Signficant,MUTATION,7.54359189716796e-06
Gastroesophageal,211,purity_svTMB,NOTCH1,12,+ as.factor(biopsy) + purity + purity_ploidy,0.0108484211361192,0.0247055412810384,0.661049716747395,0.03,-0.04,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.59457025917963e-08
Gastroesophageal,211,purity_svTMB,RB1,15,+ as.factor(biopsy) + purity + purity_ploidy,-0.0217278824541127,0.0497935352180418,0.663039641479976,0.02,-0.04,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,3.53700642283291e-40
Gastroesophageal,211,teal_final_ratio,FOSL2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0120004409577396,0.0276484842396998,0.664723149908969,0.15,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,4.30261421837555e-06
Gastroesophageal,211,teal_final_ratio,MAP3K21,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0153390585422865,0.0355959321129962,0.666982538485991,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,9.36168742603282e-13
Gastroesophageal,211,purity_svTMB,CTNNB1,9,+ as.factor(biopsy) + purity + purity_ploidy,-0.0139806115903129,0.0325339038721945,0.667851929658817,0.16,-0.03,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,7.07990987657753e-17
Gastroesophageal,211,teal_final_ratio,RAD51,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.00902360997300992,0.0214084593710972,0.673837882649943,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,,5.79440733577062e-22
Gastroesophageal,211,teal_final_ratio,AJUBA,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.0127728156769835,0.0304863540997992,0.675682275108233,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,1.02021558354681e-06
Gastroesophageal,211,purity_svTMB,PPP2R3B,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.0133396328529164,0.0327361177010307,0.684077701409455,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,8.96196765119521e-18
Gastroesophageal,211,teal_final_ratio,MGMT,6,+ as.factor(biopsy) + purity + purity_ploidy,0.0140563099443771,0.0345710127932072,0.684735736698091,0.09,-0.03,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.02207429783153e-36
Gastroesophageal,211,teal_final_ratio,FHIT,102,+ as.factor(biopsy) + purity + purity_ploidy,-0.00787985945526633,0.0194867478353748,0.68636625246465,-0.1,0.1,,11,5,0,3,4,0,0.27,0.8,,Non-Signficant,DELETION,6.32696667464287e-61
Gastroesophageal,211,purity_svTMB,RUNX1,42,+ as.factor(biopsy) + purity + purity_ploidy,-0.00803463164968843,0.0199327008488843,0.687307729514908,0.2,0.16,,11,5,0,6,3,0,0.55,0.6,,Non-Signficant,MUTATION,7.27579835093561e-71
Gastroesophageal,211,purity_svTMB,GPHN,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00955475488201442,0.0237602417991548,0.688009928466772,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,5.43494467527397e-13
Gastroesophageal,211,teal_final_ratio,ETS2,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.00812894229740424,0.0202447088469257,0.688449272177573,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,0.000535436905592827
Gastroesophageal,211,purity_svTMB,KMT2B,6,+ as.factor(biopsy) + purity + purity_ploidy,0.0116632976692002,0.0291249586638096,0.689240964715062,-0.04,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,4.21273355240424e-06
Gastroesophageal,211,teal_final_ratio,ARID2,16,+ as.factor(biopsy) + purity + purity_ploidy,-0.0126521635436848,0.0325406802265124,0.697823714534951,0.01,-0.04,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.2208144523711e-15
Gastroesophageal,211,purity_svTMB,PTCH1,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.00878493728767841,0.02265665361911,0.698613195231265,0.1,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,7.92770885011593e-07
Gastroesophageal,211,purity_svTMB,TP53,191,+ as.factor(biopsy) + purity + purity_ploidy,0.0259286649832434,0.0672403212094963,0.700187934512005,0.08,0.05,,11,5,0,11,5,0,1,1,,Non-Signficant,MUTATION,0
Gastroesophageal,211,teal_final_ratio,OR4F21,5,+ as.factor(biopsy) + purity + purity_ploidy,0.0137925511317118,0.0358842443126802,0.701112259925847,0.1,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,DELETION,4.2487844609872e-31
Gastroesophageal,211,purity_svTMB,FAT4,9,+ as.factor(biopsy) + purity + purity_ploidy,0.00909054838795399,0.0237981518113524,0.702871708751407,-0.05,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,5.65269346297458e-26
Gastroesophageal,211,teal_final_ratio,PLCG1,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0110892082446332,0.029291928160331,0.705398692827193,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.85891264276351e-14
Gastroesophageal,211,teal_final_ratio,TOP1,3,+ as.factor(biopsy) + purity + purity_ploidy,0.01122616225953,0.0296536895302256,0.705398692827193,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,9.73847748619136e-20
Gastroesophageal,211,teal_final_ratio,MSH2,6,+ as.factor(biopsy) + purity + purity_ploidy,0.0112574128449448,0.030236677982989,0.710050557815245,0.22,-0.03,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,2.48161858765253e-09
Gastroesophageal,211,teal_final_ratio,PUDP,14,+ as.factor(biopsy) + purity + purity_ploidy,-0.00818309121567297,0.0226439801241948,0.718190914016397,-0.06,-0.04,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,1.24089665363382e-27
Gastroesophageal,211,purity_svTMB,STS,19,+ as.factor(biopsy) + purity + purity_ploidy,0.00622296118822853,0.017336958117,0.720011580558964,0,-0.05,,11,5,0,1,0,0,0.09,0,,Non-Signficant,DELETION,1.52254603506986e-38
Gastroesophageal,211,teal_final_ratio,CDK4,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.023805883112395,0.0668771701137679,0.722236972285905,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,9.54493737289053e-103
Gastroesophageal,211,teal_final_ratio,NSD1,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.0171493028862918,0.0489142486667339,0.726252501004667,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,1.5964550928862e-59
Gastroesophageal,211,teal_final_ratio,NBN,6,+ as.factor(biopsy) + purity + purity_ploidy,0.00986985065921039,0.0281780296054612,0.726501048244876,-0.04,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,1.54409191365129e-20
Gastroesophageal,211,teal_final_ratio,RASA1,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.0176671204212429,0.0507609649839096,0.728166730514024,-0.03,0.21,,11,5,0,0,1,0,0,0.2,,Non-Signficant,MUTATION,1.01987369141945e-16
Gastroesophageal,211,teal_final_ratio,NRG1,7,+ as.factor(biopsy) + purity + purity_ploidy,-0.0144388356696513,0.0415208783761592,0.728389150203425,-0.04,0.15,,11,5,0,0,1,0,0,0.2,,Non-Signficant,MUTATION,7.95949333147434e-25
Gastroesophageal,211,purity_svTMB,PUDP,14,+ as.factor(biopsy) + purity + purity_ploidy,0.00662604791211678,0.0192727809901977,0.731349969714013,-0.06,-0.04,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,1.24089665363382e-27
Gastroesophageal,211,teal_final_ratio,STAG2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0170797926779382,0.0507216623891238,0.736664035487122,0.33,-0.02,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,5.96592952753539e-27
Gastroesophageal,211,teal_final_ratio,ZNF750,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00922397845455731,0.027452128047033,0.737216158193493,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,0.000182384870215112
Gastroesophageal,211,purity_svTMB,ERBB2,39,+ as.factor(biopsy) + purity + purity_ploidy,0.00794969108778139,0.0236830080771586,0.737465889782128,-0.06,-0.07,,11,5,0,1,0,0,0.09,0,,Non-Signficant,AMPLIFICATION,1.98626799762274e-27
Gastroesophageal,211,teal_final_ratio,NAALADL2,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00827186450780133,0.0253866317105729,0.744884484982612,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,1.55781026601406e-07
Gastroesophageal,211,teal_final_ratio,PTPRB,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.0167116183487166,0.0515971305152848,0.746357350634451,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,4.86545764486754e-81
Gastroesophageal,211,teal_final_ratio,ZNF703,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.0183356684233151,0.0569888876083223,0.747979879618738,0.1,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,AMPLIFICATION,2.16076609642455e-45
Gastroesophageal,211,purity_svTMB,FGFR1,5,+ as.factor(biopsy) + purity + purity_ploidy,0.0164172908404939,0.0511672867632088,0.748650180331129,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.82900981167974e-28
Gastroesophageal,211,purity_svTMB,PRKN,9,+ as.factor(biopsy) + purity + purity_ploidy,-0.00835379734200791,0.0263619197944132,0.751653625610926,-0.05,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,1.48366172020268e-16
Gastroesophageal,211,teal_final_ratio,WWOX,6,+ as.factor(biopsy) + purity + purity_ploidy,0.00562933632107687,0.0178180779151624,0.752377207121433,-0.04,0.16,,11,5,0,0,1,0,0,0.2,,Non-Signficant,DELETION,1.41924339818442e-10
Gastroesophageal,211,teal_final_ratio,DNM2,14,+ as.factor(biopsy) + purity + purity_ploidy,0.0079099712259965,0.0258253457428004,0.759699934472243,0.11,0.08,,11,5,0,2,1,0,0.18,0.2,,Non-Signficant,,3.34244036344191e-43
Gastroesophageal,211,teal_final_ratio,CUL3,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.0107814417848023,0.0357160487837603,0.763063647291822,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,3.98983296107402e-26
Gastroesophageal,211,teal_final_ratio,CASP8,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.0103853727415957,0.0352812478892097,0.768783941632547,0.12,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,4.29984593540763e-16
Gastroesophageal,211,purity_svTMB,MEN1,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0132719470264391,0.0453545514316468,0.770106479843823,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,6.72573139907053e-12
Gastroesophageal,211,purity_svTMB,LRP1B,15,+ as.factor(biopsy) + purity + purity_ploidy,0.00658401250082206,0.0225475746031969,0.770580731348926,0.18,-0.04,,11,5,0,3,0,0,0.27,0,,Non-Signficant,DELETION,4.99711022733056e-20
Gastroesophageal,211,purity_svTMB,PMS2,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0101742560973667,0.0349407167857897,0.771206186920127,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,8.04009457291084e-10
Gastroesophageal,211,teal_final_ratio,PAX5,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00714513965596461,0.0246289026163006,0.772026702252564,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,0.000856044906392203
Gastroesophageal,211,purity_svTMB,IL1RAPL1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.00658469071104916,0.0229074988311321,0.774063333728043,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,2.13751364421306e-12
Gastroesophageal,211,purity_svTMB,NF1,17,+ as.factor(biopsy) + purity + purity_ploidy,0.0114738022060228,0.0401029114893005,0.775086429997836,-0.07,0.07,,11,5,0,0,1,0,0,0.2,,Non-Signficant,MUTATION,1.89997433130418e-76
Gastroesophageal,211,purity_svTMB,TRAF7,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0082483602721536,0.0293916057089946,0.779274943029934,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.72955413572588e-17
Gastroesophageal,211,teal_final_ratio,TSC2,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.00987825479838681,0.0352746152209005,0.779733022037066,0.1,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.54738101496648e-21
Gastroesophageal,211,teal_final_ratio,FAT1,12,+ as.factor(biopsy) + purity + purity_ploidy,-0.00879560084908619,0.0319406547514702,0.783309609216081,-0.06,-0.04,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,3.83021321357284e-15
Gastroesophageal,211,teal_final_ratio,ERCC2,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00860964833823389,0.0313863887886805,0.784124165081182,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,4.21016459802391e-09
Gastroesophageal,211,teal_final_ratio,GPHN,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00760986365753033,0.0279232499323509,0.785493180234533,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,5.43494467527397e-13
Gastroesophageal,211,purity_svTMB,MCL1,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0105738344380166,0.0390294409785301,0.786728262402548,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.65049076820458e-24
Gastroesophageal,211,teal_final_ratio,KMT2B,6,+ as.factor(biopsy) + purity + purity_ploidy,-0.00921876923446555,0.0342279460414537,0.787945790153889,-0.04,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,4.21273355240424e-06
Gastroesophageal,211,teal_final_ratio,BRD7,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.0108329765140203,0.0402539896994441,0.788114052018105,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.82458211920627e-08
Gastroesophageal,211,teal_final_ratio,CDC73,10,+ as.factor(biopsy) + purity + purity_ploidy,-0.00832930388398004,0.0311597649249177,0.789502182663246,-0.05,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,1.83172745795501e-48
Gastroesophageal,211,teal_final_ratio,TRAF7,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00878761881750379,0.0345350367818565,0.799401502727965,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.72955413572588e-17
Gastroesophageal,211,teal_final_ratio,TMEM127,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00625025878922232,0.024703586100385,0.800516373459868,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,1.7316452898372e-05
Gastroesophageal,211,teal_final_ratio,BRIP1,9,+ as.factor(biopsy) + purity + purity_ploidy,0.00937988020153616,0.0371736014148685,0.801044097811172,0.06,0.12,,11,5,0,1,1,0,0.09,0.2,,Non-Signficant,MUTATION,5.61153397212942e-71
Gastroesophageal,211,teal_final_ratio,GRIN2A,8,+ as.factor(biopsy) + purity + purity_ploidy,0.00979038786509375,0.0389596943674569,0.801840008593849,-0.05,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,2.47643212326059e-39
Gastroesophageal,211,purity_svTMB,SMARCA4,29,+ as.factor(biopsy) + purity + purity_ploidy,-0.00588674267032516,0.0234276127793838,0.801856688938048,0.03,-0.06,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,5.88248671427857e-21
Gastroesophageal,211,teal_final_ratio,TET2,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.00763390289051906,0.0307524293205458,0.804201669356714,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,7.42448827863216e-22
Gastroesophageal,211,teal_final_ratio,DICER1,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00831169879329626,0.0339230293833267,0.806691230608603,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,3.06894750085304e-12
Gastroesophageal,211,teal_final_ratio,PIK3R1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0126579040072813,0.0527742822595703,0.810688670410226,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,5.61752108394048e-05
Gastroesophageal,211,teal_final_ratio,MAP3K13,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00681531836330931,0.0288321954314165,0.813377119829987,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,5.12996478237887e-11
Gastroesophageal,211,purity_svTMB,KRT5,5,+ as.factor(biopsy) + purity + purity_ploidy,-0.00357565740447636,0.0152356508069208,0.814685771971946,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,1.8664523967362e-05
Gastroesophageal,211,purity_svTMB,FH,3,+ as.factor(biopsy) + purity + purity_ploidy,0.00480885433675052,0.0205160064568543,0.814914389127062,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,4.55383901693497e-20
Gastroesophageal,211,teal_final_ratio,CYLD,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.0156598359547123,0.0708462825553284,0.825283745848256,0.2,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,0.000131124211629559
Gastroesophageal,211,purity_svTMB,LINC01001,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00463785818305221,0.0209869580628547,0.825324176586527,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,3.41702073835196e-11
Gastroesophageal,211,teal_final_ratio,ANK1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0110842221534562,0.0522599777985131,0.832243604183532,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,2.35355126259287e-20
Gastroesophageal,211,teal_final_ratio,IKBKB,4,+ as.factor(biopsy) + purity + purity_ploidy,0.00993128189780446,0.0468240860120439,0.832243604183533,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.83374170081097e-20
Gastroesophageal,211,purity_svTMB,MECOM,5,+ as.factor(biopsy) + purity + purity_ploidy,0.00500044477442361,0.0235979060133917,0.8323960490809,-0.04,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,2.45769874697825e-29
Gastroesophageal,211,purity_svTMB,SPTAN1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.00714421057712628,0.0339789428406515,0.833680272286616,-0.03,0.21,,11,5,0,0,1,0,0,0.2,,Non-Signficant,MUTATION,1.73863719837496e-26
Gastroesophageal,211,purity_svTMB,FOSL2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.00472109802557486,0.0235400889197846,0.841246819481178,0.15,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,4.30261421837555e-06
Gastroesophageal,211,teal_final_ratio,MAP3K1,3,+ as.factor(biopsy) + purity + purity_ploidy,0.011279286130334,0.0579689095632321,0.845920457175328,0.15,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,9.59527846919284e-09
Gastroesophageal,211,purity_svTMB,JAK2,5,+ as.factor(biopsy) + purity + purity_ploidy,0.00489805660207003,0.0255649715458828,0.848252925475623,0.1,0.18,,11,5,0,1,1,0,0.09,0.2,,Non-Signficant,AMPLIFICATION,2.41727069121471e-45
Gastroesophageal,211,teal_final_ratio,RAD51B,25,+ as.factor(biopsy) + purity + purity_ploidy,0.0065866342556084,0.035857045478024,0.854438832920499,0.05,0.04,,11,5,0,2,1,0,0.18,0.2,,Non-Signficant,DELETION,6.92639604504353e-144
Gastroesophageal,211,purity_svTMB,DIAPH2,6,+ as.factor(biopsy) + purity + purity_ploidy,-0.00387158755256407,0.0213238894359619,0.85610838420528,0.09,-0.03,,11,5,0,1,0,0,0.09,0,,Non-Signficant,DELETION,3.72316969961509e-10
Gastroesophageal,211,purity_svTMB,CASZ1,9,+ as.factor(biopsy) + purity + purity_ploidy,0.00527098439948393,0.029071811414584,0.856305851151887,0.16,-0.03,,11,5,0,2,0,0,0.18,0,,Non-Signficant,DELETION,2.85564066381138e-42
Gastroesophageal,211,purity_svTMB,ASXL1,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00758802978223108,0.0427417550861517,0.859267540866873,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,2.32979921049979e-16
Gastroesophageal,211,teal_final_ratio,ZFP36L2,8,+ as.factor(biopsy) + purity + purity_ploidy,0.00696915730677397,0.0396764997363529,0.860744398783403,-0.05,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,2.88128838800293e-08
Gastroesophageal,211,teal_final_ratio,ETNK1,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00645267114419356,0.0367486699589324,0.860791678611232,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,7.77051927737566e-20
Gastroesophageal,211,teal_final_ratio,RAD54L,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00424641807384716,0.0244107641250947,0.862072775152781,0.15,-0.02,,11,5,0,1,0,0,0.09,0,,Non-Signficant,DELETION,3.43444192307752e-30
Gastroesophageal,211,purity_svTMB,AMER1,6,+ as.factor(biopsy) + purity + purity_ploidy,0.00514310729789963,0.0298596326732637,0.863418231620035,0.22,-0.03,,11,5,0,2,0,0,0.18,0,,Non-Signficant,MUTATION,7.80965626331779e-05
Gastroesophageal,211,purity_svTMB,PTPRB,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.00744714122696088,0.0439223284441023,0.86553091156494,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,4.86545764486754e-81
Gastroesophageal,211,purity_svTMB,RYR1,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.00570044625974301,0.0353513165722169,0.872055833979771,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,1.05357494492838e-23
Gastroesophageal,211,teal_final_ratio,LATS2,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00796063892482544,0.0500388833772787,0.873756871905087,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,2.89029909701673e-06
Gastroesophageal,211,purity_svTMB,CDK4,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00903108529446294,0.0569331014685076,0.874121027136007,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,9.54493737289053e-103
Gastroesophageal,211,purity_svTMB,NSD1,3,+ as.factor(biopsy) + purity + purity_ploidy,0.00658905736277471,0.0416407384072411,0.874428256751691,-0.03,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,1.5964550928862e-59
Gastroesophageal,211,teal_final_ratio,CBFB,7,+ as.factor(biopsy) + purity + purity_ploidy,0.00515784679774288,0.0338807689792781,0.879152602083343,-0.04,-0.03,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,8.73029219841042e-08
Gastroesophageal,211,teal_final_ratio,EML4,6,+ as.factor(biopsy) + purity + purity_ploidy,-0.00594071198816859,0.0404249938890096,0.883312270409164,0.09,-0.03,,11,5,0,1,0,0,0.09,0,,Non-Signficant,MUTATION,3.51772819601077e-16
Gastroesophageal,211,teal_final_ratio,APC,24,+ as.factor(biopsy) + purity + purity_ploidy,0.0074865041854038,0.0520907437647168,0.885863804936693,-0.08,-0.06,,11,5,0,0,0,0,0,0,,Non-Signficant,MUTATION,7.35580134360081e-19
Gastroesophageal,211,purity_svTMB,IRS2,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.00493654017621778,0.0350225515491409,0.888046696788593,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,AMPLIFICATION,7.08926595793126e-10
Gastroesophageal,211,purity_svTMB,CBLB,2,+ as.factor(biopsy) + purity + purity_ploidy,0.00642675667264482,0.0458820896268904,0.888742660842091,-0.02,-0.02,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,5.90876110414638e-31
Gastroesophageal,211,purity_svTMB,CARD11,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.00275610688115026,0.0197101869731941,0.888931686794832,-0.03,0.51,,11,5,0,0,2,0,0,0.4,,Non-Signficant,AMPLIFICATION,4.98491597055126e-08
Gastroesophageal,211,teal_final_ratio,ABCB1,11,+ as.factor(biopsy) + purity + purity_ploidy,0.00397812992918025,0.0303677758452971,0.895906306316462,-0.06,-0.04,,11,5,0,0,0,0,0,0,,Non-Signficant,DELETION,8.1614472196261e-50
