Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Bladder Urothelial,Anti-PD-1,IFN-γ Signature,IFNG,Expression,Response,"RNA-seq, qPCR",Medium,Cytokine,Promotes anti-tumor immune response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
Bladder Urothelial,Anti-PD-1,FGFR3 Mutation,FGFR3,Mutation,Non-response,"NGS, PCR",Medium,Receptor tyrosine kinase,"Associated with immune-cold tumors, poor response","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,TGF-β Signature,TGFB1,Expression,Non-response,"RNA-seq, qPCR",Medium,Cytokine,"Promotes immune exclusion, resistance to immunotherapy","TCGA, GEO",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,APOBEC Signature,APOBEC3A/B,Mutation pattern,Response,"NGS, RNA-seq",Medium,Enzyme (cytidine deaminase),"Associated with higher mutational burden, increased immunogenicity","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Anti-PD-1,Circulating Tumor DNA (ctDNA),Multiple,"Mutation, Fragmentation",Response/Non-response,"NGS, PCR",Medium,N/A (cell-free DNA),"Reflects tumor burden and mutational landscape, dynamic marker","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/
Bladder Urothelial,Immunotherapy,NECTIN4,NECTIN4,"Amplification, Expression",Response,"IHC, CNV analysis",Medium,Cell adhesion molecule,High expression predicts response to enfortumab vedotin (EV),TCGA,https://news.feinberg.northwestern.edu/2024/05/24/new-biomarker-may-predict-treatment-response-in-bladder-cancer/
Bladder Urothelial,Immunotherapy,FGFR3 mutation,FGFR3,Mutation,Non-response,"NGS, PCR",Medium,Receptor tyrosine kinase,"FGFR3 mutations linked to immune-cold phenotype, less ICI response","TCGA, COSMIC","https://jitc.bmj.com/content/5/1/94, https://pubmed.ncbi.nlm.nih.gov/29157296/"
Bladder Urothelial,Immunotherapy,DDR gene alterations,"ERCC2, ATM, RB1, FANCC",Mutation,Response,"NGS, PCR",Medium,DNA repair enzymes,"DDR mutations increase neoantigen load, improving ICI response","TCGA, COSMIC",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2020.01900/full
Bladder Urothelial,Immunotherapy,TGF-β pathway activation,"TGFB1, SMADs","Expression, Mutation",Non-response,"RNA-seq, IHC",Medium,"Cytokine, transcription factor","TGF-β signaling linked to immune exclusion, poor ICI response",TCGA,https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Immunotherapy,CTLA-4,CTLA4,Expression,Response/Non-response,"IHC, RNA-seq",Medium,Immune checkpoint,Modulates T-cell activation; variable association with ICI response,"TCGA, GEO","https://jitc.bmj.com/content/5/1/94, https://pubmed.ncbi.nlm.nih.gov/29157296/"
Bladder Urothelial,Immunotherapy,APOBEC mutational signature,APOBEC3A/B,"Mutation, Expression",Response,"NGS, RNA-seq",Medium,Cytidine deaminase,"APOBEC-driven mutations increase neoantigen load, enhancing immunogenicity","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Immunotherapy,IFN-γ signature,IFNG,Expression,Response,"RNA-seq, qPCR",Medium,Cytokine,High IFN-γ signaling linked to inflamed TME and better ICI response,"TCGA, GEO",https://jitc.bmj.com/content/5/1/94
Bladder Urothelial,Immunotherapy,MHC class I loss,HLA-A/B/C,"Deletion, Mutation",Non-response,"IHC, NGS",Medium,Antigen-presenting molecule,"Loss impairs antigen presentation, reducing ICI efficacy","TCGA, COSMIC",https://jitc.bmj.com/content/5/1/94
Breast ER+/HER-,Aromatase inhibitor,AKT1 Mutation,AKT1,Mutation,Non-response,"NGS, PCR",Medium,Enzyme (kinase),"Activates survival pathways, reducing AI efficacy","COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,CCND1 Amplification,CCND1,Amplification,Non-response,"FISH, PCR",Medium,Cell cycle regulator,"Promotes cell cycle progression, linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,FGFR1 Amplification,FGFR1,Amplification,Non-response,"FISH, PCR",Medium,Receptor tyrosine kinase,"Drives proliferation, associated with poor AI response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,BCL2 Expression,BCL2,Expression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,High BCL2 linked to better prognosis and response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,Ki-67,MKI67,Expression,Non-response,IHC,Medium,Proliferation marker,"High Ki-67 indicates aggressive, less AI-responsive tumors","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,GATA3 Mutation,GATA3,Mutation,Response,"NGS, PCR",Medium,Transcription factor,"Maintains luminal phenotype, linked to endocrine sensitivity","COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,TP53 Mutation,TP53,Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,Loss of function associated with resistance,"COSMIC, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Aromatase inhibitor,CDK4/6 Pathway Alteration,CDK4/6,Amplification/Mutation,Non-response,"NGS, PCR",Medium,Cell cycle kinases,Dysregulation leads to AI resistance,"TCGA, COSMIC",https://www.icr.ac.uk/industry-partnerships/industry-partnerships-detail/opportunity--biomarker-for-cdk4-6-and-or-aromatase-inhibitor-response-in-breast-cancers
Breast ER+/HER-,Aromatase inhibitor,PTEN Loss,PTEN,Deletion/Mutation,Non-response,"IHC, NGS, PCR",Medium,Tumor suppressor,"Loss activates PI3K/AKT pathway, conferring resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,Ki-67,MKI67,Expression,Non-response,IHC,Medium,Proliferation marker,"High levels indicate increased proliferation, linked to poor chemo response","TCGA, GEO",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,TP53 Mutation,TP53,Mutation,Non-response,Somatic mutation analysis,Medium,Tumor suppressor,"Loss of function impairs apoptosis, linked to resistance","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,Cyclin D1,CCND1,Amplification,Non-response,"FISH, PCR, RNA-seq",Medium,Cell cycle regulator,"Promotes cell cycle progression, overexpression linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,BCL2,BCL2,Expression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic,High expression linked to better prognosis and response,"TCGA, GEO",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,PIK3CA Mutation,PIK3CA,Mutation,Non-response,Somatic mutation analysis,Medium,Kinase,"Activates PI3K pathway, associated with resistance to some therapies","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,RB1 Loss,RB1,Deletion/Mutation,Non-response,Somatic mutation analysis,Medium,Tumor suppressor,"Loss leads to unchecked cell cycle, linked to resistance","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,GATA3,GATA3,Mutation,Response,Somatic mutation analysis,Medium,Transcription factor,"Maintains luminal phenotype, mutations linked to better response","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,CDK4,CDK4,Amplification,Non-response,"FISH, PCR",Medium,Kinase,"Promotes cell cycle progression, overexpression linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,MYC,MYC,Amplification,Non-response,"FISH, PCR",Medium,Transcription factor,"Drives proliferation, overexpression linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Chemotherapy,TILs (Tumor-Infiltrating Lymphocytes),N/A,N/A,Response,"IHC, Histopathology",Medium,Immune cells,High TILs linked to better response to chemotherapy,"TCGA, GEO",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Chemotherapy,ESR1 Mutation,ESR1,Mutation,Non-response,Somatic mutation analysis,Medium,Nuclear receptor,Mutations confer resistance to endocrine therapy,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/JCO.22.00069
Breast ER+/HER-,Hormonal therapy,Ki-67,MKI67,Expression,Non-response,IHC,Medium,Proliferation marker,High proliferation index linked to poor response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/
Breast ER+/HER-,Hormonal therapy,BCL2,BCL2,Expression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,High expression associated with favorable prognosis and response,"TCGA, GEO",https://www.jcancer.org/v07p1281.htm
Breast ER+/HER-,Hormonal therapy,BRCA1/2,BRCA1/2,Mutation,Non-response,"PCR, NGS",Medium,DNA repair enzyme,Mutations may confer resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/
Breast ER+/HER-,Hormonal therapy,AKT1,AKT1,Mutation,Non-response,"NGS, PCR",Medium,Kinase (enzyme),"Mutations activate survival pathways, reducing therapy efficacy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,TP53,TP53,Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,Mutations linked to endocrine resistance,"TCGA, COSMIC",https://www.jcancer.org/v07p1281.htm
Breast ER+/HER-,Hormonal therapy,FGFR1,FGFR1,Amplification,Non-response,"FISH, NGS",Medium,Receptor tyrosine kinase,Amplification associated with resistance to endocrine therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,CCND1,CCND1,Amplification,Non-response,"FISH, NGS",Medium,Cell cycle regulator,Amplification leads to cell cycle progression and resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,GATA3,GATA3,Mutation,Response,"NGS, PCR",Medium,Transcription factor,"Mutations often co-occur with ER+ status, associated with better response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,BCL2,BCL2,Expression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,High expression linked to favorable prognosis and response in ER+ tumors,"TCGA, GEO",https://www.jcancer.org/v07p1281.htm
Breast ER+/HER-,Hormonal therapy,Ki-67,MKI67,Expression,Non-response,IHC,Medium,Proliferation marker,"High Ki-67 indicates high proliferation, associated with poor response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/
Breast ER+/HER-,Hormonal therapy,BRCA1/2,BRCA1/2,Mutation,Non-response,"PCR, Sequencing",Medium,DNA repair enzyme,Mutations may confer resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564209/
Breast ER+/HER-,Hormonal therapy,AKT1,AKT1,Mutation,Non-response,"Sequencing, PCR",Medium,Kinase (PI3K pathway),Mutations associated with resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,GATA3,GATA3,Mutation,Response,"Sequencing, PCR",Medium,Transcription factor,"Mutations often co-occur with ER+ status, linked to better response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,FGFR1,FGFR1,Amplification,Non-response,"FISH, PCR",Medium,Receptor tyrosine kinase,Amplification associated with endocrine resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Hormonal therapy,CCND1,CCND1,Amplification,Non-response,"FISH, PCR",Medium,Cell cycle regulator,Amplification linked to resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Breast ER+/HER-,Pyrimidine (ant)agonist,MTHFR,MTHFR,Mutation,Non-response,"PCR, SNP genotyping",Medium,Enzyme (Methylenetetrahydrofolate reductase),Folate metabolism; polymorphisms affect 5-FU efficacy,"TCGA, GEO",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,UMPS,UMPS,"Mutation, Deletion",Non-response,"RNA-seq, PCR",Medium,Enzyme (Uridine monophosphate synthetase),Pyrimidine biosynthesis; loss reduces 5-FU activation,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,RRM1,RRM1,Amplification,Non-response,"RNA-seq, IHC",Medium,Enzyme (Ribonucleotide reductase M1),dNTP synthesis; high levels confer resistance to nucleoside analogs,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,CDA,CDA,"Mutation, Deletion",Non-response,"PCR, RNA-seq",Medium,Enzyme (Cytidine deaminase),Inactivates cytidine analogs; loss increases toxicity,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,DCK,DCK,"Mutation, Deletion",Non-response,"RNA-seq, PCR",Medium,Enzyme (Deoxycytidine kinase),Activates nucleoside analogs; loss confers resistance,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Breast ER+/HER-,Pyrimidine (ant)agonist,CAD,CAD,Amplification,Non-response,"RNA-seq, IHC",Medium,"Enzyme (Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, dihydroorotase)",Pyrimidine biosynthesis; upregulation linked to resistance,"TCGA, COSMIC",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.684961/full
Breast ER+/HER-,Pyrimidine (ant)agonist,DHODH,DHODH,"Mutation, Amplification",Response,"RNA-seq, PCR",Medium,Enzyme (Dihydroorotate dehydrogenase),Target of pyrimidine antagonists; inhibition sensitizes tumors,"TCGA, COSMIC",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.684961/full
Breast ER+/HER-,Pyrimidine (ant)agonist,BRAF (V600E),BRAF,Mutation,Response,Somatic Mutation,Medium,Kinase (Ser/Thr kinase),"Oncogenic driver; increases pyrimidine dependence, synthetic lethality w/ DHODH","TCGA, COSMIC",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.684961/full
Breast ER+/HER-,Pyrimidine (ant)agonist,PTEN,PTEN,"Deletion, Mutation",Response,"IHC, Somatic Mutation",Medium,Phosphatase,"Loss increases pyrimidine pathway dependence, sensitizes to DHODH inhibitors","TCGA, COSMIC",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.684961/full
Breast ER+/HER-,Pyrimidine (ant)agonist,KRAS,KRAS,Mutation,Response,Somatic Mutation,Medium,GTPase,"Oncogenic driver; increases pyrimidine dependence, synthetic lethality w/ DHODH","TCGA, COSMIC",https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.684961/full
Breast ER+/HER-,Pyrimidine (ant)agonist,INOSINE,N/A,Metabolic alteration,Response,Metabolomics (LC-MS/MS),Medium,Metabolite,Plasma levels predict chemotherapy response in breast cancer,"GEO, Metabolomics",https://pmc.ncbi.nlm.nih.gov/articles/PMC11381768/
Breast ER+/HER-,Pyrimidine (ant)agonist,URIDINE,N/A,Metabolic alteration,Response,Metabolomics (LC-MS/MS),Medium,Metabolite,Plasma levels predict chemotherapy response in breast cancer,"GEO, Metabolomics",https://pmc.ncbi.nlm.nih.gov/articles/PMC11381768/
Breast ER+/HER-,Pyrimidine (ant)agonist,PMI Signature,Multi-gene,Transcriptomic signature,Non-response,"RNA-seq, Transcriptomics",Medium,Multi-gene signature,High PMI score linked to poor prognosis and altered immune microenvironment,"TCGA, METABRIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9745154/
Breast Triple Negative,Chemotherapy,EGFR,EGFR,Amplification,Non-response,"IHC, FISH, PCR",Medium,Receptor tyrosine kinase,"Overexpression associated with aggressive phenotype, poor chemo response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,TMB,N/A,N/A,Response,"NGS, WES",Medium,Genomic feature,High TMB linked to improved response to chemo-immunotherapy,"TCGA, COSMIC","https://www.oncologynewscentral.com/breast-cancer/biomarkers-linked-to-pathologic-response-in-early-triple-negative-breast-cancer, https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.779786/full"
Breast Triple Negative,Chemotherapy,PIK3CA,PIK3CA,Mutation,Non-response,"Somatic Mutations, PCR",Medium,Enzyme (kinase),Mutations associated with resistance to chemotherapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/
Breast Triple Negative,Chemotherapy,PTEN,PTEN,Deletion/Mutation,Non-response,"IHC, PCR",Medium,Tumor suppressor,Loss linked to chemoresistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7369987/
Breast Triple Negative,Chemotherapy,c-MYC,MYC,Amplification,Non-response,"FISH, PCR",Medium,Transcription factor,Overexpression linked to poor chemo response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,CK5/6,KRT5/KRT6,Overexpression,Non-response,IHC,Medium,Structural protein,"Basal cytokeratin expression linked to aggressive, chemo-resistant phenotype","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,VEGF,VEGFA,Overexpression,Non-response,"IHC, ELISA",Medium,Growth factor,"Promotes angiogenesis, associated with poor chemo response","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Breast Triple Negative,Chemotherapy,PARP1,PARP1,Overexpression,Response,"IHC, PCR",Medium,DNA repair enzyme,"Targeted by PARP inhibitors, synthetic lethality in BRCA-mutant TNBC","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC4675910/
Colon,Chemotherapy,NRAS,NRAS,Mutation,Non-response,"Somatic mutation (PCR, NGS)",Medium,GTPase (enzyme),"Activates MAPK pathway, associated with anti-EGFR resistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,TYMS,TYMS,Overexpression,Non-response,"IHC, qPCR, RNA-seq",Medium,Enzyme,High levels reduce efficacy of 5-FU chemotherapy,"GEO, TCGA",https://pmc.ncbi.nlm.nih.gov/articles/PMC6288499/
Colon,Chemotherapy,DPYD,DPYD,Mutation,Non-response,"Somatic mutation (PCR, NGS)",Medium,Enzyme,"Deficiency leads to 5-FU toxicity, poor response","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,TP53,TP53,Mutation,Non-response,"Somatic mutation (PCR, NGS)",Medium,Transcription factor,"Loss of function impairs apoptosis, reduces chemotherapy efficacy","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,EGFR,EGFR,Overexpression,Non-response,"IHC, qPCR, RNA-seq",Medium,Receptor tyrosine kinase,Overexpression linked to resistance to anti-EGFR therapy,"TCGA, COSMIC",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2022.1062423/full
Colon,Chemotherapy,10-gene signature,Multiple,Expression profile,Response/Non-response,"RNA-seq, qPCR",Medium,Mixed,Predicts benefit from adjuvant chemotherapy in stage II/III colon cancer,"TCGA, GEO","https://news.med.miami.edu/colon-cancer-biomarkers/, https://www.news-medical.net/news/20240727/New-biomarker-helps-determine-the-optimal-treatment-for-colon-cancer.aspx"
Colon,Chemotherapy,PIK3CA,PIK3CA,Mutation,Non-response,"Somatic mutation (PCR, NGS)",Medium,Enzyme,"Activates PI3K pathway, associated with resistance to anti-EGFR therapy","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,VEGFA,VEGFA,Overexpression,Non-response,"IHC, qPCR, RNA-seq",Medium,Growth factor,"Promotes angiogenesis, associated with resistance to anti-angiogenic therapy","TCGA, GEO",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,HER2 amplification,ERBB2,Amplification,Non-response,"FISH, IHC, NGS",Medium,Receptor tyrosine kinase,"Bypasses EGFR blockade, confers resistance to anti-EGFR therapy","TCGA, COSMIC",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2022.1062423/full
Colon,Chemotherapy,TP53 mutation,TP53,Mutation,Non-response,"PCR, NGS",Medium,Tumor suppressor,"Loss of cell cycle control, associated with poor response to some chemotherapies","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,10-gene signature,Multiple,Expression change,Response/Non-response,"RNA-seq, qPCR",Medium,Various,Predicts benefit from adjuvant chemotherapy in stage II/III colon cancer,"TCGA, GEO","https://news.med.miami.edu/colon-cancer-biomarkers/, https://www.news-medical.net/news/20240727/New-biomarker-helps-determine-the-optimal-treatment-for-colon-cancer.aspx"
Colon,Chemotherapy,CEA,CEACAM5,Overexpression,Non-response,"IHC, ELISA",Medium,Cell adhesion molecule,High levels linked to poor prognosis and reduced chemo benefit,TCGA,https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,NRAS mutation,NRAS,Mutation,Non-response,"PCR, NGS",Medium,GTPase (enzyme),"Activates MAPK pathway, resistance to anti-EGFR therapy","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,PIK3CA mutation,PIK3CA,Mutation,Non-response,"PCR, NGS",Medium,Kinase (enzyme),"Activates PI3K pathway, may reduce chemo efficacy","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Colon,Chemotherapy,EGFR expression,EGFR,Overexpression,Response,"IHC, qPCR",Medium,Receptor tyrosine kinase,"Target for anti-EGFR therapy, higher expression may predict response","TCGA, COSMIC","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2022.1062423/full, https://www.mdpi.com/2072-6694/16/16/2796"
Colon,Chemotherapy,APC mutation,APC,Mutation,Non-response,"PCR, NGS",Medium,Tumor suppressor,"Wnt pathway activation, associated with poor prognosis","TCGA, COSMIC",https://www.mdpi.com/2072-6694/16/16/2796
Gastroesophageal,Chemotherapy,FGFR2,FGFR2,Amplification,Response,"FISH, NGS",Medium,Receptor tyrosine kinase,FGFR2 amplification predicts response to FGFR inhibitors[2].,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,CLDN18.2,CLDN18,Overexpression,Response,IHC,Medium,Tight junction protein,Overexpression predicts response to claudin 18.2-targeted therapies[2].,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,EGFR,EGFR,"Amplification, Mutation",Non-response,"IHC, FISH, NGS",Medium,Receptor tyrosine kinase,EGFR alterations may confer resistance to some chemotherapies[4].,"TCGA, COSMIC",https://www.wjgnet.com/1948-5204/full/v11/i7/518.htm
Gastroesophageal,Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,TP53 mutations often linked to poor response to chemotherapy[4].,"TCGA, COSMIC",https://www.wjgnet.com/1948-5204/full/v11/i7/518.htm
Gastroesophageal,Chemotherapy,MET,MET,Amplification,Non-response,"FISH, NGS",Medium,Receptor tyrosine kinase,MET amplification associated with resistance to standard chemotherapy[2].,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,ERCC1,ERCC1,Overexpression,Non-response,"IHC, qPCR",Medium,DNA repair enzyme,High ERCC1 expression linked to resistance to platinum-based chemotherapy[2].,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,Thymidylate Synthase (TS),TYMS,Overexpression,Non-response,"IHC, qPCR",Medium,Enzyme,High TS expression predicts resistance to fluoropyrimidines[2].,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10380533/
Gastroesophageal,Chemotherapy,Circulating Tumor DNA (ctDNA),Various,Somatic Mutations,Response/Non-response,"NGS, digital PCR",Medium,N/A (biomarker type),ctDNA dynamics reflect response or resistance to therapy[3].,"TCGA, GEO",https://ascopubs.org/doi/10.1200/EDBK_431060
Gastroesophageal,Chemotherapy,E-cadherin,CDH1,"Mutation, Deletion",Non-response,"IHC, NGS",Medium,Cell adhesion protein,Loss of E-cadherin linked to poor prognosis and chemoresistance[4].,"TCGA, COSMIC",https://www.wjgnet.com/1948-5204/full/v11/i7/518.htm
Kidney,Multikinase inhibitor,PBRM1,PBRM1,Mutation,Response,Somatic mutation analysis (NGS),Medium,Chromatin remodeler,Mutations linked to improved response to VEGF-TKIs and immunotherapy,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10419620/, https://ascopubs.org/doi/10.1200/EDBK_430734"
Kidney,Multikinase inhibitor,BAP1,BAP1,Mutation,Non-response,Somatic mutation analysis (NGS),Medium,Deubiquitinase,Associated with aggressive disease and poor response to TKIs,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,PD-L1,CD274,Amplification/Expression,Non-response,"IHC, RNA-seq",Medium,Immune checkpoint ligand,"High expression linked to immune evasion, may predict poor response to TKIs","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC10419620/, https://ascopubs.org/doi/10.1200/EDBK_430734"
Kidney,Multikinase inhibitor,VEGFA,VEGFA,Amplification,Response,"RNA-seq, qPCR",Medium,Growth factor,"Overexpression drives angiogenesis, target of VEGF-TKIs","TCGA, GEO",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,HIF1A,HIF1A,Stabilization,Response,"IHC, RNA-seq",Medium,Transcription factor,"Upregulated in VHL loss, promotes angiogenesis, targetable by TKIs","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC10419620/, https://ascopubs.org/doi/10.1200/EDBK_430734"
Kidney,Multikinase inhibitor,FGFR1,FGFR1,Amplification,Non-response,"NGS, FISH, IHC",Medium,Receptor tyrosine kinase,FGFR pathway activation associated with resistance to VEGF-TKIs,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,mTOR,MTOR,Mutation,Non-response,NGS,Medium,Serine/threonine kinase,mTOR pathway activation linked to resistance to VEGF-TKIs,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,TP53,TP53,Mutation,Non-response,NGS,Medium,Tumor suppressor,TP53 mutations linked to poor prognosis and resistance to therapy,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/EDBK_430734
Kidney,Multikinase inhibitor,ctDNA,Various,Mutation,Non-response,"Liquid biopsy (NGS, PCR)",Medium,N/A (multiple genes),High ctDNA levels correlate with progressive disease and non-response,"TCGA, COSMIC",https://www.urologytimes.com/view/exploring-the-potential-role-of-ctdna-as-a-biomarker-in-kidney-cancer
